Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extract Links,15911,0,31,36.244379567783255,9.025225000186765,297.1751579998454,390.0,270.5529371769779,0.0,31,38,44,48,59,72,88,100,220,300,300
,Aggregated,15911,0,31,36.244379567783255,9.025225000186765,297.1751579998454,390.0,270.5529371769779,0.0,31,38,44,48,59,72,88,100,220,300,300
