Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extract Links,2800,0,200,208.84808743893174,164.59683399989444,540.682292999918,414.6039285714286,47.791569697455984,0.0,200,210,220,230,250,280,310,340,450,540,540
,Aggregated,2800,0,200,208.84808743893174,164.59683399989444,540.682292999918,414.6039285714286,47.791569697455984,0.0,200,210,220,230,250,280,310,340,450,540,540
