Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Extract Links,10379,0,4,5.60166086694285,3.098302000125841,328.74021599991465,414.6006358994123,176.60029849332227,0.0,4,5,6,6,8,10,13,16,170,270,330
,Aggregated,10379,0,4,5.60166086694285,3.098302000125841,328.74021599991465,414.6006358994123,176.60029849332227,0.0,4,5,6,6,8,10,13,16,170,270,330
